,Component 1,Component 2,Prediction
267,-0.718186662197066,0.9419551902012339,XL
268,-0.4141579841080911,-0.7910518488416571,M
269,0.5419328051705679,-0.3417182340006737,M
270,3.477928881209298,-0.5323724245015118,XXS
271,3.0169748121105426,0.3160471513315429,S
272,1.6617282360584626,0.20367387311719642,S
273,-0.9239936292264164,-0.8729598831159686,XL
274,-6.010258472341342,-1.6125626111920515,XXXL
275,-4.058902916142539,1.6748915660117576,XXXL
276,2.7045452139795434,-0.4053121350397467,S
277,1.158391081390542,-1.3533659866722751,M
278,-1.7536111876481828,-0.43976220313083053,XL
279,-2.8989075894261505,0.009642103240597888,XXXL
280,-0.7849361337852163,0.45656184753463747,XL
281,-0.26539289028880597,-0.9199894556055226,M
282,0.5231308102849073,1.3730260102722165,M
283,-0.15471303194390124,-0.5011210847045742,M
284,-3.0467787212258766,-0.3769918659693841,XXXL
285,2.035996253812319,-0.34066448057619964,S
286,-4.290451476913493,-0.5860683492566297,XXXL
287,0.6163153520802105,-0.4061870373826064,M
288,-1.642931329303278,-0.020893832229882114,XL
289,-2.215459218766498,0.9242289486760713,XL
290,0.9378393467187863,0.05888734213026933,M
291,2.419559153627758,1.0537919151707373,S
292,-4.406168504522718,0.7637723445476966,XXXL
293,-1.6569367777761477,-1.51569990810275,XL
294,0.8973988280387626,0.8286876565788157,M
295,0.6891505978022645,2.001328566623639,M
296,-1.7328666258733798,1.020753302667356,XL
297,0.2081053060967354,-0.5671801947558239,M
298,2.5460323844846515,1.9363232099968632,S
299,-1.9560142666023077,1.2141597128131543,XL
300,0.9717813749484052,0.764218853196883,M
301,-3.48637502667932,0.729768785105804,XXXL
302,-3.3197018999939334,-0.5983414899571043,XXXL
303,-0.7586271808770888,1.7117555046497848,XL
304,1.2221720679025405,0.5561961233341114,M
305,-1.9706730542432067,1.6757664683546172,XL
306,-1.4725277116896307,0.7951124908305914,XL
307,1.015471138853631,-0.7431473740092434,M
308,2.2550006872964854,0.7190665980094295,S
309,0.4917846881124603,1.886541417862349,M
310,1.0840085344808994,-1.2888971832903424,M
311,1.4508840997647918,0.15746786450526912,M
312,0.14216381652663884,1.1974165331820208,M
313,0.6072610928701558,-0.9041405313824609,M
314,0.6757984884974242,-1.44989034066356,M
315,-0.034738291537412154,1.856542035636712,M
316,-1.62713795679129,0.442769091695291,XL
317,3.0383727130533758,-0.1798501742845965,XXS
318,0.17651856107275954,-1.4945060426061703,M
319,1.2007741669597072,1.0520934489502507,M
320,-3.5490672710242137,1.7567996002860689,XXXL
321,3.2459676041218444,0.6039217470849108,XXS
322,-4.126786972601779,0.26422854387852523,XXXL
323,2.315377785733258,-0.8402082812453712,S
324,0.7492870733875078,-0.9987875680716451,M
325,1.4453197086314684,0.3627897131883132,M
326,0.11817000952663365,0.4744669401414144,M
327,1.0371096626479932,0.20179655581509576,M
328,0.430358984806104,-0.2450150289277746,M
329,-0.6794480875546552,-1.5622636188779064,XL
330,1.03037054934606,0.23608712588977715,M
331,-0.9404403409064347,0.6197900243731844,XL
332,-2.845269604291311,-1.5153422059395214,XXXL
333,1.009625987571257,-1.2244283799084097,M
334,0.8385690307895792,-0.08402187155455712,M
335,0.7172876120470303,1.4711406709328134,M
336,-1.6956753524185586,0.9885189009763896,XL
337,0.5626773669453708,1.118797271797513,M
338,3.626693975028583,-0.6613100312653772,XXS
339,-5.22518450254684,-0.7770608888554842,XXXL
340,1.6186918113212672,-0.24537273109100327,S
341,2.0029481876022586,-1.561567567616661,S
342,0.9633804549063809,-1.6901474722172978,M
343,-2.481402661381091,2.109430010054153,XXXL
344,-0.3032375029116575,1.0686577774997696,M
345,1.8535297546149434,0.5237828705615307,S
346,0.41545957431367514,-1.2242495288267954,M
347,1.1493368221804876,-1.8513194806721296,M
348,-0.9032490674516134,0.5875556226822181,XL
349,2.5220787147821673,0.45913521609798363,S
350,-3.1121070089254643,0.18543043141240312,XXXL
351,1.8037542165758143,0.10902683642801236,S
352,-0.37851401184085937,1.6486981568555499,L
353,0.6072610928701558,-0.9041405313824609,M
354,2.2187033758612227,0.23572942372654843,S
355,-0.07684061695752753,0.1376854545963917,M
356,2.7417364874343644,-0.4375465367307131,S
357,-0.5620291159078171,-1.1776858180516392,L
358,0.7188349132346198,-1.00084373645536,M
359,1.8227968343130048,-0.16487615240439452,S
360,1.915328036940278,0.012323631355113274,S
361,-0.9676432558341204,-0.11983205676811054,XL
362,0.2634452352691877,-0.3577460093053497,M
363,1.7674569051405524,-0.3743103378548687,S
364,0.8139620219190653,0.39520296596089394,M
365,1.9748111733574918,-1.0313796719258401,S
366,3.2556752024999294,-0.854537590329561,XXS
367,-0.23404676811635886,-1.4335048631956553,M
368,1.1211998079357208,-1.3211315849813088,M
369,0.7709255971818698,-0.053843638247305814,M
370,1.9443590132046042,-1.033435840309555,S
371,1.810493329877748,0.07473626635333097,S
372,0.21654636343628142,1.132947729800088,M
373,-0.35532818685890766,0.1216576792917157,M
374,1.3428001474770592,0.9574464122610669,M
375,1.1047530962557026,0.1716183225078444,M
376,1.18408683242816,1.1040021009989254,M
377,-0.34042877636647884,1.100892179190736,M
378,1.7888548060833855,-0.8702076634710084,S
379,-1.143892024730142,-1.4171193857277506,XL
380,1.621287717378439,0.9734741875657429,S
381,1.3337458882670046,0.4594929182612123,M
382,2.732642090926788,-0.1812616298722992,S
383,-2.4377128974758664,0.6020637828480219,XXXL
384,-2.564186128332759,-0.28046751197809944,XXXL
385,-3.0467787212258766,-0.3769918659693841,XXXL
386,-5.2986730874369234,-1.228163661447399,XXXL
387,2.5282964450835217,-1.7025994639993867,XXS
388,0.12141925475183588,-0.26309897261616566,M
389,0.7395794750094228,0.45967176934282666,M
390,-2.199012507086479,-0.5685209588130816,XXXL
391,0.8660527058663154,1.342203064168948,M
392,0.7932174601442623,-1.0653125398372927,M
393,-0.32812527193122193,0.8612797604330107,M
394,-0.5108323939801263,0.2848858561302625,L
395,1.290709463529809,0.010446314053012579,M
396,-1.2775170852054687,1.1318939763756188,XL
397,1.4922185804643746,-1.127904025917125,S
398,0.7644271067314662,1.4212881872678589,M
399,-0.1826094233371381,1.4699080664267299,M
400,1.6238836234356122,2.1923211062224937,M
401,-0.1612115223943057,0.9740107408105858,M
402,-1.556004655106849,1.115866201070943,XL
403,0.7460378281623057,-0.26122165531406494,M
404,-1.070816156156559,2.431237473718974,XL
405,0.9181433898135665,2.2892031623770066,M
406,1.052009073140422,1.1810310557141162,M
407,0.6807496777602393,-0.4530377587905461,M
408,2.012002446812313,-1.0636140736168067,S
409,-2.7691851133440557,0.15460748530913943,XXXL
410,-2.176720644124087,-1.5799898604030684,XXXL
411,0.009845434387371961,-0.16639576754326657,M
412,1.6552297456080591,1.6788056986323612,M
413,-0.31813691340408634,0.08942327760074933,M
414,-4.075590250674086,1.7268002180604318,XXXL
415,2.945841510426102,-0.35704995804410433,XXS
416,-4.801834423219406,1.8040080238572371,XXXL
417,1.4508840997647918,0.15746786450526912,M
418,-1.9826039796594848,-0.7276367988841984,XXXL
419,-0.15277046505475866,2.674138665366503,M
420,2.540880709667829,-1.2556090281749022,S
421,-4.020404964351658,-2.270168498507866,XXXL
422,-2.2519971530532885,-0.9999494810472883,XXXL
423,-1.8206012820878619,-2.3659968012379053,XXXL
424,2.6896458034871142,-1.3845466349387676,XXS
425,-1.8338388858401995,-0.8565744056480639,XL
426,-0.012446428575020492,0.8450731340467204,M
427,1.5062240289372437,0.36690204995574327,M
428,1.0245253980636857,-0.24519388000938894,M
429,1.7882014669153554,1.086205167943318,S
430,-1.8279937345578254,-0.3752933997488978,XL
431,3.085512207737811,-0.2297026579495559,XXS
432,1.0892003465952431,1.1487966540231498,M
433,-0.2074570550591817,0.5082916485016977,M
434,3.5523114281189403,-0.5968412278834445,XXS
435,0.9776265262307793,1.2454998590960489,M
436,-0.17611093288673454,-0.005223759088434755,M
437,0.6195645973054129,-1.1437529501401866,M
438,0.8081168706366911,-0.08607803993827218,M
439,2.8905015812536496,-0.5664841434945785,XXS
440,1.6277862078288436,-0.5016576379494171,S
441,0.2107012121539073,0.6516667239009222,M
442,-2.2511031910337294,-1.5155210570211357,XXXL
443,-0.2802923007812348,-1.8992239555045434,M
444,1.173290491882971,-0.37413148677325436,M
445,-1.197289387013452,1.5487061788928522,XL
446,-0.23559406930394827,1.0384795441925185,M
447,-0.5687682292097507,-1.143395247976958,L
448,1.194035053657774,1.0863840190249323,M
449,1.883981914767831,0.5258390389452458,S
450,0.8139620219190653,0.39520296596089394,M
451,2.8747082087416618,-1.030147067419752,XXS
452,3.0532721235458045,0.799384325614424,S
453,-0.3653165453860433,0.893514162123977,M
454,-0.860212642714418,1.0366022268904176,XL
455,0.9071465637143692,-1.3840100816939245,M
456,1.014577176834072,-0.2275757980353959,M
457,2.255241310148015,2.159907853449913,S
458,-1.8063552107634635,0.5696505300754413,XL
459,-1.3088632073779158,1.6454093839657515,XL
460,0.03213729734976444,-1.1778646691332535,M
461,1.1849807944477193,0.5884305250250778,M
462,1.0989079449733283,-0.30966268339132164,M
463,-4.949052215851102,-0.5390387767670757,XXXL
464,-0.48854053101773376,-0.7265830454597244,L
465,2.09223014500433,-0.646801871099573,S
466,1.5071179909568033,-0.14866952601810418,S
467,-0.6364116628174598,-1.1132170146697065,XL
468,-4.674054514026454,-1.2262863441452982,XXXL
469,-0.8496110823167738,-0.9374286864979013,XL
470,-0.9494946001164893,0.12183653037332998,XL
471,1.9376198999026706,-0.9991452702348739,S
472,-2.9946880372786264,0.5700082322386699,XXXL
473,-3.084863956700257,0.1708141116954297,XXXL
474,0.7462784510138352,1.1796196001264183,M
475,-3.5391190497946003,1.7391815183120758,XXXL
476,0.24789248560872862,0.6194323222099558,M
477,0.45175688574893735,-0.7409123545439142,M
478,1.8848758767873905,0.010267462971398245,S
479,-1.3518996321151113,1.1963627797575516,XL
480,1.111251586706107,-1.3035135030073157,M
481,0.3767209996712644,1.2799692802523448,M
482,0.8139620219190653,0.39520296596089394,M
483,-0.7172927001775069,0.4263836142273863,XL
484,1.0139238376660415,1.72883703337893,M
485,1.8154445191405626,1.0715888482263445,S
486,-0.3983646115961031,-0.3273889249164841,M
487,3.086165546905841,-2.186115489363882,XXS
488,2.7045452139795434,-0.4053121350397467,S
489,1.2312263271125952,1.054149617333966,M
490,0.025398184047831063,-1.1435740990585723,M
491,1.7212113724756766,-0.8400294301637568,S
492,0.5419328051705679,-0.3417182340006737,M
493,2.2245485271435967,0.7170104296257145,S
494,-3.585605205311006,-0.16737882943729554,XXXL
495,2.29958441322127,-1.3038712051705446,S
496,-5.48462945471103,-1.0669916529925672,XXXL
497,-1.1784873921277914,-0.16603806538003796,XL
